Example ctrlSpeed=-100 obstacleSpeed=0 actuatorOffset=-10 duration=10 initialDistance=750000 reactionTime=220
time,d,v,vact,tact,actuation
0,750000,0,100,0,Normal
220,730200,100,100,0,Normal
440,710400,100,100,0,Normal
660,690600,100,100,0,Normal
880,670800,100,100,0,Normal
1100,651000,100,100,0,Normal
1320,631200,100,100,0,Normal
1540,611400,100,100,0,Normal
1760,591600,100,100,0,Normal
1980,571800,100,100,0,Normal
2200,552000,100,100,0,Normal
2420,532200,100,100,0,Normal
2640,512400,100,100,0,Normal
2860,492600,100,250,0,Normal
3080,439800,250,250,0,Normal
3300,387000,250,250,0,Normal
3520,334200,250,250,0,Normal
3740,281400,250,250,0,Normal
3960,228600,250,250,0,Normal
4180,175800,250,250,0,Normal
4400,123000,250,250,0,Normal
4620,70200,250,250,0,Normal
4840,17400,250,250,0,Fallback
5060,19600,0,250,0,Fallback
5280,21800,0,250,0,Fallback
5500,24000,0,250,0,Fallback
5720,26200,0,250,0,Fallback
5940,28400,0,250,0,Fallback
6160,30600,0,250,0,Fallback
6380,32800,0,250,0,Fallback
6600,35000,0,250,0,Fallback
6820,37200,0,250,0,Fallback
7040,39400,0,250,0,Fallback
7260,41600,0,250,0,Fallback
7480,43800,0,250,0,Fallback
7700,46000,0,250,0,Fallback
7920,48200,0,250,0,Fallback
8140,50400,0,250,0,Fallback
8360,52600,0,250,0,Fallback
8580,54800,0,250,0,Fallback
8800,57000,0,250,0,Normal
9020,4200,250,250,0,Fallback
9240,6400,0,250,0,Fallback
9460,8600,0,250,0,Fallback
9680,10800,0,250,0,Fallback
9900,13000,0,250,0,Fallback
,,,,,Simulation summary
,,,,,Who CtrlMon
,,,,,Engage distance 17400
,,,,,Final distance 15200
