Example ctrlSpeed=100 obstacleSpeed=0 actuatorOffset=0 duration=10 initialDistance=750000 reactionTime=220
time,d,v,vact,tact,actuation
0,750000,0,100,0,Normal
220,728000,100,100,0,Normal
440,706000,100,100,0,Normal
660,684000,100,100,0,Normal
880,662000,100,100,0,Normal
1100,640000,100,100,0,Normal
1320,618000,100,100,0,Normal
1540,596000,100,100,0,Normal
1760,574000,100,100,0,Normal
1980,552000,100,100,0,Normal
2200,530000,100,100,0,Normal
2420,508000,100,100,0,Normal
2640,486000,100,100,0,Normal
2860,464000,100,100,0,Normal
3080,442000,100,100,0,Normal
3300,420000,100,100,0,Normal
3520,398000,100,100,0,Normal
3740,376000,100,100,0,Normal
3960,354000,100,100,0,Normal
4180,332000,100,100,0,Normal
4400,310000,100,100,0,Normal
4620,288000,100,100,0,Normal
4840,266000,100,100,0,Normal
5060,244000,100,100,0,Normal
5280,222000,100,100,0,Normal
5500,200000,100,100,0,Normal
5720,178000,100,100,0,Normal
5940,156000,100,100,0,Normal
6160,134000,100,100,0,Normal
6380,112000,100,100,0,Normal
6600,90000,100,100,0,Normal
6820,68000,100,100,0,Normal
7040,46000,100,0,0,Normal
7260,46000,0,0,0,Normal
7480,46000,0,0,0,Normal
7700,46000,0,0,0,Normal
7920,46000,0,0,0,Normal
8140,46000,0,0,0,Normal
8360,46000,0,0,0,Normal
8580,46000,0,0,0,Normal
8800,46000,0,0,0,Normal
9020,46000,0,0,0,Normal
9240,46000,0,0,0,Normal
9460,46000,0,0,0,Normal
9680,46000,0,0,0,Normal
9900,46000,0,0,0,Normal
