Example ctrlSpeed=-100 obstacleSpeed=0 actuatorOffset=0 duration=10 initialDistance=750000 reactionTime=220
time,d,v,vact,tact,actuation
0,750000,0,100,0,Normal
220,728000,100,100,0,Normal
440,706000,100,100,0,Normal
660,684000,100,100,0,Normal
880,662000,100,100,0,Normal
1100,640000,100,100,0,Normal
1320,618000,100,100,0,Normal
1540,596000,100,100,0,Normal
1760,574000,100,100,0,Normal
1980,552000,100,100,0,Normal
2200,530000,100,100,0,Normal
2420,508000,100,100,0,Normal
2640,486000,100,250,0,Normal
2860,431000,250,250,0,Normal
3080,376000,250,250,0,Normal
3300,321000,250,250,0,Normal
3520,266000,250,250,0,Normal
3740,211000,250,250,0,Normal
3960,156000,250,250,0,Normal
4180,101000,250,250,0,Normal
4400,46000,250,250,0,Fallback
4620,46000,0,250,0,Fallback
4840,46000,0,250,0,Fallback
5060,46000,0,250,0,Fallback
5280,46000,0,250,0,Fallback
5500,46000,0,250,0,Fallback
5720,46000,0,250,0,Fallback
5940,46000,0,250,0,Fallback
6160,46000,0,250,0,Fallback
6380,46000,0,250,0,Fallback
6600,46000,0,250,0,Fallback
6820,46000,0,250,0,Fallback
7040,46000,0,250,0,Fallback
7260,46000,0,250,0,Fallback
7480,46000,0,250,0,Fallback
7700,46000,0,250,0,Fallback
7920,46000,0,250,0,Fallback
8140,46000,0,250,0,Fallback
8360,46000,0,250,0,Fallback
8580,46000,0,250,0,Fallback
8800,46000,0,250,0,Fallback
9020,46000,0,250,0,Fallback
9240,46000,0,250,0,Fallback
9460,46000,0,250,0,Fallback
9680,46000,0,250,0,Fallback
9900,46000,0,250,0,Fallback
,,,,,Simulation summary
,,,,,Who CtrlMon
,,,,,Engage distance 46000
,,,,,Final distance 46000
