time,d,v,vact,tact
166,708000,35935084,100,0,Normal
351,681000,65,100,0,Normal
536,667000,100,100,0,Normal
721,679000,95,100,0,Normal
906,626000,95,100,0,Normal
1091,633000,98,100,0,Normal
1276,575000,95,100,0,Normal
1461,536000,98,100,0,Normal
1679,503000,97,100,0,Normal
1889,462000,98,100,0,Normal
2074,422000,95,100,0,Normal
2259,387000,97,100,0,Normal
2445,352000,95,100,0,Normal
2629,316000,98,100,0,Normal
2814,274000,98,100,0,Normal
2999,234000,95,100,0,Normal
3184,196000,98,100,0,Normal
3368,150000,98,100,0,Normal
3553,113000,95,100,0,Normal
3738,75000,98,100,0,Normal
3923,45000,95,0,0,Normal
4107,27000,27,0,0,Normal
4295,18000,0,0,0,Normal
4480,20000,0,0,0,Normal
4664,30000,0,0,0,Normal
4848,110000,0,100,0,Normal
5033,251000,65,100,0,Normal
5219,390000,100,100,0,Normal
5404,478000,95,100,0,Normal
5589,498000,100,100,0,Normal
5774,486000,98,100,0,Normal
5959,460000,95,100,0,Normal
6144,442000,95,100,0,Normal
6329,399000,98,100,0,Normal
6513,353000,98,100,0,Normal
6745,300000,96,100,0,Normal
6930,273000,98,100,0,Normal
7114,247000,98,100,0,Normal
7299,232000,98,100,0,Normal
7484,209000,98,100,0,Normal
7668,193000,98,100,0,Normal
7854,176000,98,100,0,Normal
8040,155000,97,100,0,Normal
8227,136000,96,100,0,Normal
8414,118000,97,100,0,Normal
8599,100000,98,100,0,Normal
8784,74000,98,100,0,Normal
8970,59000,97,100,0,Normal
9156,41000,97,0,0,Normal
9347,34000,27,0,0,Normal
9538,32000,0,0,0,Normal
9723,31000,0,0,0,Normal
9907,31000,0,0,0,Normal
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 45000
,,,,,Final distance  (- WORST_STOP_DIST) 32000
,,,,,Engage distance (measured) 103000
,,,,,Final distance (measured) 91000
