time,d,v,vact,tact
166,689000,42,150,0,Normal
351,690000,103,150,0,Normal
537,667000,153,150,0,Normal
722,630000,147,150,0,Normal
907,598000,150,150,0,Normal
1092,575000,147,150,0,Normal
1277,550000,148,150,0,Normal
1464,525000,145,150,0,Normal
1649,493000,147,150,0,Normal
1834,466000,147,150,0,Normal
2018,445000,147,150,0,Normal
2204,413000,147,150,0,Normal
2388,386000,147,150,0,Normal
2574,357000,146,150,0,Normal
2759,335000,147,150,0,Normal
2946,306000,145,150,0,Normal
3130,280000,147,150,0,Normal
3316,252000,147,150,0,Normal
3501,223000,147,150,0,Normal
3708,200000,148,150,0,Normal
3931,161000,145,150,0,Normal
4116,134000,148,150,0,Normal
4302,105000,146,150,0,Normal
4488,76000,148,150,0,Normal
4673,45000,148,0,0,Normal
4857,31000,43,0,0,Normal
5041,33000,0,0,0,Normal
5226,34000,0,0,0,Normal
5411,34000,0,0,0,Normal
5595,35000,0,0,0,Normal
5780,33000,0,0,0,Normal
5970,33000,0,0,0,Normal
6155,34000,0,0,0,Normal
6340,35000,0,0,0,Normal
6525,30000,0,0,0,Normal
6709,35000,0,0,0,Normal
6894,32000,0,0,0,Normal
7078,32000,0,0,0,Normal
7263,33000,0,0,0,Normal
7448,34000,0,0,0,Normal
7634,35000,0,0,0,Normal
7818,35000,0,0,0,Normal
8003,34000,0,0,0,Normal
8187,34000,0,0,0,Normal
8372,35000,0,0,0,Normal
8557,35000,0,0,0,Normal
8808,33000,0,0,0,Normal
9032,32000,0,0,0,Normal
9217,33000,0,0,0,Normal
9402,33000,0,0,0,Normal
9587,32000,0,0,0,Normal
9771,33000,0,0,0,Normal
9956,35000,0,0,0,Normal
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 45000
,,,,,Final distance  (- WORST_STOP_DIST) 33000
,,,,,Engage distance (measured) 103000
,,,,,Final distance (measured) 90000
