time,d,v,vact,tact
166,683000,48,150,0,Normal
351,652000,103,150,0,Normal
537,633000,153,150,0,Normal
722,604000,147,150,0,Normal
958,570000,150,150,0,Normal
1194,528000,149,150,0,Normal
1379,499000,147,250,0,Normal
1564,466000,219,250,0,Normal
1748,421000,253,250,0,Normal
1934,372000,248,250,0,Normal
2119,329000,251,250,0,Normal
2304,280000,249,250,0,Normal
2488,237000,245,250,0,Normal
2673,191000,251,250,0,Normal
2858,149000,245,250,0,Normal
3043,100000,248,250,0,Normal
3234,50000,250,250,0,Fallback
3428,26000,72,250,0,Fallback
3612,29000,16388000,250,0,Fallback
3797,29000,0,250,0,Fallback
3986,28000,0,250,0,Fallback
4171,26000,0,250,0,Fallback
4355,28000,0,250,0,Fallback
4540,29000,0,250,0,Fallback
4724,26000,0,250,0,Fallback
4909,28000,0,250,0,Fallback
5094,26000,0,250,0,Fallback
5282,29000,0,250,0,Fallback
5467,27000,0,250,0,Fallback
5652,27000,0,250,0,Fallback
5847,30000,0,250,0,Fallback
6088,28000,0,250,0,Fallback
6272,28000,0,250,0,Fallback
6457,25000,0,250,0,Fallback
6642,27000,0,250,0,Fallback
6826,29000,0,250,0,Fallback
7011,29000,0,250,0,Fallback
7196,29000,0,250,0,Fallback
7380,29000,0,250,0,Fallback
7565,30000,0,250,0,Fallback
7749,27000,0,250,0,Fallback
7935,28000,0,250,0,Fallback
8120,27000,0,250,0,Fallback
8305,26000,0,250,0,Fallback
8490,31000,0,250,0,Fallback
8675,26000,0,250,0,Fallback
8859,26000,0,250,0,Fallback
9044,29000,0,250,0,Fallback
9228,26000,0,250,0,Fallback
9412,30000,0,250,0,Fallback
9597,27000,0,250,0,Fallback
9782,28000,0,250,0,Fallback
9967,30000,0,250,0,Fallback
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 50000
,,,,,Final distance  (- WORST_STOP_DIST) 27000
,,,,,Engage distance (measured) 108000
,,,,,Final distance (measured) 86000
