time,d,v,vact,tact
165,688000,48,250,0,Normal
350,672000,158,250,0,Normal
534,610000,260,250,0,Normal
719,573000,255,250,0,Normal
903,530000,247,250,0,Normal
1089,469000,247,250,0,Normal
1274,436000,248,250,0,Normal
1459,388000,251,250,0,Normal
1644,364000,247,250,0,Normal
1828,405000,247,250,0,Normal
2013,411000,248,250,0,Normal
2197,378000,247,250,0,Normal
2382,331000,245,250,0,Normal
2615,277000,248,250,0,Normal
2800,233000,248,250,0,Normal
2984,205000,247,250,0,Normal
3169,186000,251,250,0,Normal
3353,199000,247,250,0,Normal
3538,224000,245,250,0,Normal
3722,185000,249,250,0,Normal
3907,173000,245,250,0,Normal
4092,183000,248,250,0,Normal
4280,190000,247,250,0,Normal
4464,191000,249,250,0,Normal
4648,186000,247,250,0,Normal
4832,164000,249,250,0,Normal
5016,162000,247,250,0,Normal
5201,154000,247,250,0,Normal
5388,138000,247,250,0,Normal
5580,123000,247,250,0,Normal
5765,109000,248,250,0,Normal
5949,84000,247,250,0,Normal
6137,35000,247,0,0,Normal
6321,28000,79,0,0,Normal
6505,41000,16298448,0,0,Normal
6690,42000,0,0,0,Normal
6874,40000,0,0,0,Normal
7059,38000,0,0,0,Normal
7243,39000,0,0,0,Normal
7434,41000,0,0,0,Normal
7707,42000,0,0,0,Normal
7931,38000,0,0,0,Normal
8115,38000,0,0,0,Normal
8299,40000,0,0,0,Normal
8482,39000,0,0,0,Normal
8667,43000,0,0,0,Normal
8851,40000,0,0,0,Normal
9034,39000,0,0,0,Normal
9219,36000,0,0,0,Normal
9407,38000,0,0,0,Normal
9591,38000,0,0,0,Normal
9776,43000,0,0,0,Normal
9960,39000,0,0,0,Normal
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 35000
,,,,,Final distance  (- WORST_STOP_DIST) 41000
,,,,,Engage distance (measured) 93000
,,,,,Final distance (measured) 98000
